Timestamp,Response,IOType,LUN,Offset,Size
1455663155.481161000,0.000770000,R,0,4245611105792,122880
1455663155.486381000,0.000534000,R,0,2760796038144,131072
1455663155.486395000,0.000532000,R,0,2760796169216,131072
1455663155.482654000,0.004754000,R,0,4245611605504,18432
1455663155.482369000,0.006530000,R,0,4245611359744,8192
1455663155.482348000,0.006835000,R,0,4245611228672,131072
1455663155.488664000,0.010141000,R,0,4245611589120,16384
1455663155.501998000,0.000546000,R,0,2760796300288,131072
1455663155.502028000,0.000535000,R,0,2760796431360,131072
1455663155.503642000,0.000558000,R,0,2760796562432,131072
1455663155.503662000,0.000570000,R,0,2760796693504,131072
1455663155.502679000,0.001718000,R,0,4245611580928,8192
1455663155.505800000,0.000378000,R,0,4245611572736,8192
1455663155.507525000,0.000163000,R,0,2760796923392,32768
1455663155.507513000,0.000428000,R,0,2760796824576,98304
1455663155.507543000,0.000534000,R,0,2760796956160,131072
1455663155.512462000,0.000149000,R,0,2760797316608,32768
1455663155.512460000,0.000385000,R,0,2760797087232,98304
1455663155.512462000,0.000528000,R,0,2760797185536,131072
1455663155.517523000,0.000276000,R,0,4245611531776,40960
1455663155.517686000,0.000513000,R,0,2760797349376,131072
1455663155.517688000,0.000520000,R,0,2760797480448,131072
1455663155.520361000,0.000385000,R,0,4245611441664,90112
1455663155.524456000,0.000554000,R,0,2760797611520,131072
1455663155.524475000,0.000567000,R,0,2760797742592,131072
1455663155.532759000,0.000508000,R,0,2760797873664,131072
1455663155.532761000,0.000527000,R,0,2760798004736,131072
1455663155.533464000,0.000588000,R,0,4245611367936,73728
1455663155.537843000,0.000534000,R,0,2760798135808,131072
1455663155.537849000,0.000530000,R,0,2760798266880,131072
1455663155.543686000,0.000514000,R,0,2760798397952,131072
1455663155.543688000,0.000514000,R,0,2760798529024,131072
1455663155.549078000,0.000556000,R,0,2760798660096,131072
1455663155.549100000,0.000574000,R,0,2760798791168,131072
1455663155.548423000,0.004869000,R,0,4244227909120,122880
1455663155.554862000,0.000182000,R,0,2760799021056,32768
1455663155.554861000,0.000426000,R,0,2760798922240,98304
1455663155.554822000,0.000499000,R,0,4244228163072,8192
1455663155.554892000,0.000542000,R,0,2760799053824,131072
1455663155.554795000,0.000867000,R,0,4244228032000,131072
1455663155.554825000,0.007729000,R,0,4244228269568,87552
1455663155.564648000,0.000155000,R,0,2760799414272,32768
1455663155.564609000,0.000418000,R,0,2760799184896,98304
1455663155.565036000,0.000128000,R,0,4244228244992,24576
1455663155.564632000,0.000541000,R,0,2760799283200,131072
1455663155.565655000,0.000163000,W,0,1522667846656,4096
1455663155.566083000,0.000103000,R,0,4244228228608,16384
1455663155.580284000,0.000470000,R,0,2760799447040,131072
1455663155.580286000,0.000476000,R,0,2760799578112,131072
1455663155.581572000,0.000371000,R,0,4244228171264,40960
1455663155.583700000,0.000086000,R,0,4244228212224,16384
1455663155.584662000,0.000540000,R,0,2760799709184,131072
1455663155.584670000,0.000582000,R,0,2760799840256,131072
1455663155.589595000,0.000495000,R,0,2760799971328,131072
1455663155.589596000,0.000496000,R,0,2760800102400,131072
1455663155.593933000,0.000550000,R,0,2760800233472,131072
1455663155.593953000,0.000531000,R,0,2760800364544,131072
1455663155.591460000,0.006040000,R,0,4254999708672,4096
1455663155.601287000,0.000108000,W,0,1882320701952,1024
1455663155.601316000,0.000533000,R,0,2760800495616,131072
1455663155.601337000,0.000533000,R,0,2760800626688,131072
1455663155.605192000,0.000524000,R,0,2760800757760,131072
1455663155.605194000,0.000564000,R,0,2760800888832,131072
1455663155.602567000,0.004874000,R,0,4254999737344,77824
1455663155.607556000,0.000165000,R,0,2760801118720,32768
1455663155.607541000,0.000427000,R,0,2760801019904,98304
1455663155.607575000,0.000540000,R,0,2760801151488,131072
1455663155.610807000,0.000163000,R,0,2760801511936,32768
1455663155.610749000,0.000420000,R,0,2760801282560,98304
1455663155.610783000,0.000531000,R,0,2760801380864,131072
1455663155.612955000,0.000762000,R,0,4245612146176,122880
1455663155.614225000,0.000401000,R,0,4245612695040,18432
1455663155.614210000,0.000501000,R,0,4245612400128,8192
1455663155.614190000,0.000863000,R,0,4245612269056,131072
1455663155.615684000,0.000252000,R,0,4245612678656,16384
1455663155.618619000,0.000729000,R,0,4245612408320,114688
1455663155.620389000,0.000194000,R,0,4245612670464,8192
1455663155.626936000,0.000229000,R,0,4245612662272,8192
1455663155.626745000,0.000546000,R,0,2760801544704,131072
1455663155.626757000,0.000554000,R,0,2760801675776,131072
1455663155.627605000,0.000386000,R,0,4245612621312,40960
1455663155.630334000,0.000309000,R,0,4245612596736,24576
1455663155.632471000,0.000051000,R,0,4245612523008,8192
1455663155.639377000,0.000521000,R,0,2760801806848,131072
1455663155.639379000,0.000561000,R,0,2760801937920,131072
1455663155.636519000,0.003554000,R,0,4264967619584,4096
1455663155.642498000,0.000542000,R,0,2760802068992,131072
1455663155.642508000,0.000534000,R,0,2760802200064,131072
1455663155.646216000,0.000516000,R,0,2760802331136,131072
1455663155.646218000,0.000515000,R,0,2760802462208,131072
1455663155.648844000,0.000325000,R,0,4245612531200,65536
1455663155.650040000,0.000544000,R,0,2760802593280,131072
